Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,PercentDD,Trades,ReEntryExtension,PTAsTimeREExt,CloseBreakEvenAfter,Pair
18166,776001106.00,649.97,3.73546,1.62922,0.53714,-0.09789,776001106,1.21,174,1.1,0.5,5,AUDCAD
7347,645001106.00,336.43,2.19889,1.33019,0.27838,-0.19612,645001106,1.21,153,1,0.8,3,AUDCAD
19282,881001106.00,598.45,4.98708,1.42786,0.49531,-0.11761,881001106,1.21,120,1.1,0.8,5,AUDCAD
1240,204001007.00,829.54,0.99109,1.46589,0.69269,-0.06738,204001007,1.20,837,0.5,0.8,2,AUDCAD
3844,204001007.00,497.00,0.95394,1.33496,0.41586,-0.19220,204001007,1.20,521,0.5,1.5,2,AUDCAD
2356,207001007.00,660.57,0.95320,1.36669,0.55341,-0.17361,207001007,1.19,693,0.5,1.1,2,AUDCAD
10168,355001007.00,845.14,2.25973,1.48317,0.71366,-0.13900,355001007,1.18,374,0.5,1.6,3,AUDCAD
10323,1213001106.00,313.62,3.37226,1.35596,0.27009,-0.09686,1213001106,1.16,93,1,1.6,3,AUDCAD
9889,735001006.00,551.58,3.72689,1.60701,0.48288,-0.05984,735001006,1.14,148,0.8,1.5,3,AUDCAD
8804,990001006.00,479.18,3.57597,1.56137,0.41955,-0.02871,990001006,1.14,134,0.9,1.2,3,AUDCAD
5053,655001006.00,290.73,1.53016,1.35117,0.25731,-0.07346,655001006,1.13,190,0.8,1.8,2,AUDCAD
9920,737001006.00,488.24,4.20897,1.55864,0.43239,-0.02862,737001006,1.13,116,0.9,1.5,3,AUDCAD
3937,592001006.00,276.96,1.39176,1.32347,0.24590,-0.06963,592001006,1.13,199,0.8,1.5,2,AUDCAD
7316,484001006.00,490.96,2.39493,1.47977,0.43649,-0.20300,484001006,1.12,205,0.9,0.8,3,AUDCAD
6076,229001007.00,1131.40,1.31865,1.54805,1.00806,-0.11819,229001007,1.12,858,0.5,0.5,3,AUDCAD
6572,531001006.00,466.36,1.94317,1.43678,0.41671,-0.19984,531001006,1.12,240,0.9,0.6,3,AUDCAD
19220,701001106.00,693.62,3.91876,1.46211,0.62063,-0.16990,701001106,1.12,177,0.9,0.8,5,AUDCAD
13268,631001106.00,741.78,3.92476,1.53973,0.66372,-0.17704,631001106,1.12,189,0.9,0.8,4,AUDCAD
